Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Selatan,Tana Toraja,SPKLU Kantor PLN ULP Makale,"Jl. Ampera No.48, Tondon Mamullu, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817",-3.10178765,119.853833,https://maps.app.goo.gl/jpeEyMxPupMBpCWA6,AC TYPE 2
Sulawesi Selatan,Pangkajene Kepulauan,SPKLU PLN ULP PANGKEP,"Jl Kh Ramli No 1, Tumampua, Kec. Pangkajene, Kab. Pangkajene Dan Kepulauan, Sulawesi Selatan",-4.835936976,119.5469187,https://maps.app.goo.gl/LjF59udmBkTzDXPo7,AC TYPE 2
Sulawesi Selatan,Pare Pare,SPKLU PLN UP3 PARE PARE,"Jl. Veteran No.32, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan",-4.010339476695133,119.62315763794969,https://maps.app.goo.gl/gnu3pJz7djFaip5n8,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Selatan,Pare Pare,SPKLU LAGOTA CAFE,"Jl. Jend. Ahmad Yani, Ujung Baru, Kec. Soreang, Kota Parepare",-4.011140348,119.6346264,https://maps.app.goo.gl/Qpsn34A4hxU5z2S26,"CCS2, CHADEMO"
Sulawesi Selatan,Pare Pare,(WULING) Kumala Parepare,"Jl. Bau Massepe, Cappa Galung, Kec. Bacukiki Barat, Kota Parepare, Sulawesi Selatan 91122",-4.021905667,119.6235981,https://maps.app.goo.gl/NjyufPMLnmZWJFXWA,GB/T
Sulawesi Selatan,Pinrang,SPKLU PLN UP3 PINRANG,"Jl. Jend. Sukawati No.24, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212",-3.803299668,119.6494508,https://maps.app.goo.gl/3erW3TybJT9qj7qE9,"AC TYPE 2, CCS2"
Sulawesi Selatan,Pinrang,SPKLU PLN ULP SAWITTO,"Jl. Teuku Umar, Sawito, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91211",-3.7903633745837757,119.6537426304195,https://maps.app.goo.gl/5LWARUj892z4UmsdA,AC TYPE 2
Sulawesi Selatan,Pinrang,PLN ULP KARIANGO,Jalan Poros Pare Pare Pinrang KM 14,-3.911115238,119.6230821,https://maps.app.goo.gl/tx6J6dy3zevsrnmW9,AC TYPE 2
Sulawesi Selatan,Soppeng,SPKLU PLN ULP SOPPENG,"Jl. Lapajung, Kec.Lalabata, Kab Soppeng, Sulawesi Selatan 90811",-4.336149782,119.888183,https://maps.app.goo.gl/4pRB3dv6Gb7ZgcmA9,AC TYPE 2
Sulawesi Selatan,Toraja Utara,SPKLU PLN ULP RANTEPAO,"Rantepao, Kec. Rantepao, Kabupaten Toraja Utara, Sulawesi Selatan 91833",-2.972703162,119.8979519,https://maps.app.goo.gl/tTPzr3T4MceW4z4U9,"AC TYPE 2, CCS2"
